station,reseau,trafic,arrondissement,nb_corr,lat,lon
CITE UNIVERSITAIRE,RER,3853590,14.0,1,48.8205877,2.3390071
LOURMEL,Métro,1120497,15.0,1,48.8387364,2.2821481
AVRON,Métro,1034013,11.0,1,48.851501,2.3982195
SAINT-JACQUES,Métro,900155,13.0,1,48.8329806,2.3368199
ANTONY,RER,2790880,,1,48.851717,2.267581
NANTERRE-UNIVERSITE,RER,2024836,,1,,
QUAI DE LA GARE,Métro,1410543,13.0,1,48.8370444,2.3728619
PYRENEES,Métro,1364625,20.0,1,48.8738565,2.3852638
MALESHERBES,Métro,1133574,17.0,1,48.8829752,2.3089995
BONNE NOUVELLE,Métro,2254643,10.0,2,48.8705324,2.3487457
PEREIRE,Métro,2221107,17.0,1,48.8847906,2.2983109
CHARENTON-ECOLES,Métro,1654160,,1,48.8511745,2.3729426
HOTEL DE VILLE,Métro,5673100,4.0,2,48.8564263,2.3525276
PORTE DE CLICHY,Métro,2352078,17.0,2,48.8944737,2.3134274
COURONNES,Métro,1623475,11.0,1,48.8690533,2.3804541
PERNETY,Métro,1395770,14.0,1,48.8339998,2.3181806
GARE D'AUSTERLITZ,Métro,4638836,13.0,2,48.8417775,2.3661406
SAINT-PHILIPPE-DU-ROULE,Métro,1353374,8.0,1,48.8722352,2.3100505
IENA,Métro,1093805,16.0,1,48.8646131,2.2937335
CHARLES MICHELS,Métro,2198392,15.0,1,48.84647,2.2858803
VAVIN,Métro,1009201,14.0,1,48.8422164,2.3290114
ECOLE VETERINAIRE DE MAISONS-ALFORT,Métro,1808155,,1,,
AVENUE EMILE ZOLA,Métro,823178,15.0,1,48.8469751,2.2953222
PLACE DES FETES,Métro,1620143,19.0,2,48.8769163,2.3932671
FALGUIERE,Métro,479988,15.0,1,48.8444916,2.317965
ANATOLE FRANCE,Métro,1668656,,1,48.8604324,2.3264533
SAINT-SULPICE,Métro,1196573,6.0,1,48.8511009,2.3307034
